Anastasia;Hollow@yandex.ru;C#
Alexandra;Andrew54@gmail.com;C
Dima;WannaCyberpunk2077@yandex.ru;Pascal
Boris;Rublick@mail.ru;Objective C
Anastasia;Sherlock_TOP@gmail.com;Lisp
Igor;Hollow@yandex.ru;C#
Boris;Lot@gmail.com;C#
Anastasia;Andrew54@gmail.com;HTML
Alex;goodMood@yandex.ru;HTML
Alexandra;goodMood@yandex.ru;Lisp
Nikita;Lollypopx20@yandex.ru;C++
Dima;goodMood@yandex.ru;Java
Anastasia;Redund2020@mail.ru;C
Nikita;Lollypopx20@yandex.ru;Python
Andrey;Hollow@yandex.ru;Objective C
Anastasia;Sherlock_TOP@gmail.com;C#
Nikita;Lollypopx20@yandex.ru;Java
Alex;Andrew54@gmail.com;Objective C
Nikolai;Lot@gmail.com;HTML
Alex;Sherlock_TOP@gmail.com;Java
Alexandra;Redund2020@mail.ru;Kotlin
Alex;Hollow@yandex.ru;HTML
Dasha;Lot@gmail.com;Java
Igor;Lot@gmail.com;C++
Boris;Lot@gmail.com;Pascal
Nikita;Hollow@yandex.ru;Python
Anastasia;goodMood@yandex.ru;C
Dima;JavaProf2020@yandex.ru;C++
Alexandra;Lollypopx20@yandex.ru;C
Andrey;WannaCyberpunk2077@yandex.ru;Lisp
Anastasia;Rublick@mail.ru;Kotlin
Nikolai;Rublick@mail.ru;C
Nikolai;Sherlock_TOP@gmail.com;Java
Boris;Rublick@mail.ru;Python
Dasha;Redund2020@mail.ru;Kotlin
Dima;Hollow@yandex.ru;Python
Nikolai;Hollow@yandex.ru;Objective C
Boris;Sherlock_TOP@gmail.com;Lisp
Andrey;goodMood@yandex.ru;Java
Alex;WannaCyberpunk2077@yandex.ru;Python
Nikita;WannaCyberpunk2077@yandex.ru;Pascal
Dima;Lollypopx20@yandex.ru;Lisp
Andrey;Hollow@yandex.ru;Kotlin
Boris;Hollow@yandex.ru;Lisp
Nikolai;goodMood@yandex.ru;C#
Nikita;Rublick@mail.ru;C
Anastasia;Rublick@mail.ru;Python
Dima;Lot@gmail.com;Pascal
Alexandra;WannaCyberpunk2077@yandex.ru;Kotlin
Igor;Lot@gmail.com;Pascal
Anastasia;Andrew54@gmail.com;Java
Igor;Hollow@yandex.ru;HTML
Dasha;goodMood@yandex.ru;Objective C
Dima;Hollow@yandex.ru;C++
Nikolai;Lollypopx20@yandex.ru;Java
Boris;Sherlock_TOP@gmail.com;Objective C
Dima;Sherlock_TOP@gmail.com;Kotlin
Alex;WannaCyberpunk2077@yandex.ru;Objective C
Nikita;Lot@gmail.com;C#
Igor;Sherlock_TOP@gmail.com;Kotlin
Dima;Sherlock_TOP@gmail.com;Java
Dasha;Sherlock_TOP@gmail.com;C
Andrey;Sherlock_TOP@gmail.com;Objective C
Dasha;Lollypopx20@yandex.ru;C
Alex;Lollypopx20@yandex.ru;Python
Alexandra;Hollow@yandex.ru;Pascal
Andrey;JavaProf2020@yandex.ru;C#
Anastasia;JavaProf2020@yandex.ru;Lisp
Andrey;Hollow@yandex.ru;C#
Nikolai;JavaProf2020@yandex.ru;Java
Alexandra;Andrew54@gmail.com;Java
Alexandra;Rublick@mail.ru;Kotlin
Alex;Hollow@yandex.ru;Java
Alex;Lollypopx20@yandex.ru;C#
Alex;Rublick@mail.ru;Kotlin
Boris;Lot@gmail.com;HTML
Andrey;Rublick@mail.ru;C#
Igor;Redund2020@mail.ru;C#
Andrey;Sherlock_TOP@gmail.com;Python
Igor;Andrew54@gmail.com;C
Dima;WannaCyberpunk2077@yandex.ru;C#
Alex;Lot@gmail.com;C
Dasha;Lollypopx20@yandex.ru;HTML
Igor;Lot@gmail.com;Java
Alexandra;goodMood@yandex.ru;C++
Dasha;WannaCyberpunk2077@yandex.ru;Kotlin
Nikolai;Andrew54@gmail.com;C#
Nikita;WannaCyberpunk2077@yandex.ru;C++
Anastasia;Lollypopx20@yandex.ru;C#
Andrey;goodMood@yandex.ru;HTML
Boris;Lollypopx20@yandex.ru;Lisp
Anastasia;goodMood@yandex.ru;Objective C
Andrey;Rublick@mail.ru;Java
Dasha;Sherlock_TOP@gmail.com;Python
Alexandra;WannaCyberpunk2077@yandex.ru;C++
Alex;Sherlock_TOP@gmail.com;C
Dasha;goodMood@yandex.ru;Kotlin
Nikita;Hollow@yandex.ru;C++
Anastasia;Lot@gmail.com;C
Igor;goodMood@yandex.ru;Java
Alexandra;goodMood@yandex.ru;C
Andrey;Lot@gmail.com;Pascal
Nikolai;Rublick@mail.ru;Lisp
Andrey;JavaProf2020@yandex.ru;Pascal
Dasha;Hollow@yandex.ru;Python
Alex;JavaProf2020@yandex.ru;C#
Boris;Andrew54@gmail.com;C
Boris;Lollypopx20@yandex.ru;C
Igor;Sherlock_TOP@gmail.com;Python
Boris;WannaCyberpunk2077@yandex.ru;C++
Igor;Sherlock_TOP@gmail.com;C#
Andrey;WannaCyberpunk2077@yandex.ru;Kotlin
Igor;Andrew54@gmail.com;Python
Alex;Redund2020@mail.ru;C++
Alexandra;Rublick@mail.ru;Objective C
Dasha;Sherlock_TOP@gmail.com;C++
Andrey;Lot@gmail.com;C++
Boris;Andrew54@gmail.com;C++
Anastasia;Lollypopx20@yandex.ru;Python
Nikolai;Hollow@yandex.ru;Lisp
Alexandra;Lollypopx20@yandex.ru;Lisp
Anastasia;Rublick@mail.ru;Lisp
Nikolai;Sherlock_TOP@gmail.com;Lisp
Nikita;WannaCyberpunk2077@yandex.ru;Java
Dasha;Lollypopx20@yandex.ru;Pascal
Boris;JavaProf2020@yandex.ru;Java
Alex;Hollow@yandex.ru;Python
Igor;Lollypopx20@yandex.ru;Objective C
Alex;Rublick@mail.ru;Python
Dasha;goodMood@yandex.ru;C++
Boris;Rublick@mail.ru;C#
Boris;Hollow@yandex.ru;Python
Anastasia;JavaProf2020@yandex.ru;Python
Anastasia;Rublick@mail.ru;HTML
Andrey;Sherlock_TOP@gmail.com;C++
Nikolai;Redund2020@mail.ru;HTML
Andrey;WannaCyberpunk2077@yandex.ru;Pascal
Anastasia;Rublick@mail.ru;C++
Nikolai;goodMood@yandex.ru;C
Nikita;goodMood@yandex.ru;C
Nikita;goodMood@yandex.ru;Kotlin
Nikolai;goodMood@yandex.ru;Java
Igor;Sherlock_TOP@gmail.com;Objective C
Alex;Hollow@yandex.ru;C#
Nikolai;Rublick@mail.ru;Python
Nikita;Sherlock_TOP@gmail.com;C
Anastasia;Lot@gmail.com;Lisp
Igor;WannaCyberpunk2077@yandex.ru;C++
Alexandra;Rublick@mail.ru;C
Nikita;Redund2020@mail.ru;C++
Boris;Redund2020@mail.ru;C++
Alex;Sherlock_TOP@gmail.com;Pascal
Igor;Redund2020@mail.ru;Java
Alexandra;Hollow@yandex.ru;C
Alexandra;Andrew54@gmail.com;C++
Dasha;Redund2020@mail.ru;HTML
Alex;Lollypopx20@yandex.ru;C
Andrey;Sherlock_TOP@gmail.com;Kotlin
Igor;Rublick@mail.ru;Lisp
Alex;Sherlock_TOP@gmail.com;Objective C
Alex;Rublick@mail.ru;C++
Alex;WannaCyberpunk2077@yandex.ru;C#
Nikolai;Rublick@mail.ru;C++
Alex;Lollypopx20@yandex.ru;Kotlin
Igor;Andrew54@gmail.com;Objective C
Boris;Sherlock_TOP@gmail.com;Java
Alexandra;goodMood@yandex.ru;Pascal
Dasha;WannaCyberpunk2077@yandex.ru;C++
Nikita;Redund2020@mail.ru;Java
Nikita;JavaProf2020@yandex.ru;C++
Igor;Sherlock_TOP@gmail.com;C++
